id,temperature,created_at,sound,light,dust,fan,motion
"'6629', ","'26.51',"," '2026-05-07  22:37:00',"," '14.42',"," '255',"," '0.0238',"," '1',", '0'
"'6630', ","'26.32',"," '2026-05-07  22:37:15',", '152.53',", '255'",", '0.0222'",", '1'",", '0'"
"'6631', ","'26.34',"," '2026-05-07  22:37:30',"," '14.4', ","'255', ","'0.0195', ","'1', ",'1'
"'6632', ","'26.31',"," '2026-05-07  22:37:45',"," '17.6', ","'255', ","'0.016', '","1', '",0'
"'6633', ","'26.28',"," '2026-05-07  22:38:00',"," '11.43',"," '255',"," '0.0172',"," '1',", '0'
"'6634', ","'26.41',"," '2026-05-07  22:38:15',"," '18.01',"," '255',"," '0.0303',"," '1',", '0'
"'6635', ","'26.26',"," '2026-05-07  22:38:30',"," '16.25',"," '255',"," '0.0118',"," '1',", '0'
"'6636', ","'26.27',"," '2026-05-07  22:38:45',"," '17.24',"," '255',"," '0.0131',"," '1',", '1'
"'6637', ","'26.4', ","'2026-05-07  22:39:00', ","'17.15', ","'255', ","'0.0196', ","'1', ",'0'
"'6638', ","'26.76',"," '2026-05-07  22:39:15',"," '14.7', ","'255', ","'0.0331', ","'1', ",'0'
"'6639', ","'26.38',"," '2026-05-07  22:39:30',"," '18.16',"," '255',"," '0.0312',"," '1',", '0'
"'6640', ","'26.31',"," '2026-05-07  22:39:45',"," '13.46',"," '255',"," '0.017', ","'1', ",'0'
"'6641', ","'26.16',"," '2026-05-07  22:40:00',"," '11.18',"," '255',"," '0.0336',"," '1',", '0'
"'6642', ","'26.34',"," '2026-05-07  22:40:15',"," '11.38',"," '255',"," '0.0209',"," '1',", '0'
"'6643', ","'26.21',"," '2026-05-07  22:40:30',"," '15.03',"," '255',"," '0.0302',"," '1',", '0'
"'6644', ","'26.3', ","'2026-05-07  22:40:45', ","'13.01', ","'255', ","'0.0309', ","'1', ",'0'
"'6645', ","'26.57',"," '2026-05-07  22:41:00',"," '19.81',"," '255',"," '0.0282',"," '1',", '0'
"'6646', ","'26.54',"," '2026-05-07  22:41:15',"," '14.04',"," '255',"," '0.0101',"," '1',", '0'
"'6647', ","'26.56',"," '2026-05-07  22:41:30',"," '10.9', ","'255', ","'0.0153', ","'1', ",'0'
"'6648', ","'26.27',"," '2026-05-07  22:41:45',"," '12.14',"," '255',"," '0.013', ","'1', ",'0'
"'6649', ","'26.4', ","'2026-05-07  22:42:00', ","'16.31', ","'255', ","'0.0223', ","'1', ",'0'
"'6650', ","'26.36',"," '2026-05-07  22:42:15',"," '10.99',"," '255',"," '0.0246',"," '1',", '0'
"'6651', ","'26.23',"," '2026-05-07  22:42:30',"," '12.78',"," '255',"," '0.0242',"," '1',", '0'
"'6652', ","'26.21',"," '2026-05-07  22:42:45',"," '18.54',"," '255',"," '0.0315',"," '1',", '1'
"'6653', ","'26.18',"," '2026-05-07  22:43:00',"," '19.14',"," '255',"," '0.0146',"," '1',", '1'
"'6654', ","'26.34',"," '2026-05-07  22:43:15',"," '19.37',"," '255',"," '0.0165',"," '1',", '0'
"'6655', ","'26.43',"," '2026-05-07  22:43:30',"," '12.25',"," '255',"," '0.0139',"," '1',", '0'
"'6656', ","'26.24',"," '2026-05-07  22:43:45',"," '19.38',"," '255',"," '0.0293',"," '1',", '0'
"'6657', ","'26.21',"," '2026-05-07  22:44:00',"," '15.55',"," '255',"," '0.0254',"," '1',", '0'
"'6658', ","'26.3', ","'2026-05-07  22:44:15', ","'11.37', ","'255', ","'0.0349', ","'1', ",'0'
