id,temperature,created_at,sound,light,dust,fan,motion
"'6810', ","'25.68',"," '2026-05-07  23:22:15',"," '10.02',"," '255',"," '0.0127',"," '0',", '0'
"'6811', ","'26.01',"," '2026-05-07  23:22:30',"," '10.35',"," '255',"," '0.0337',"," '1',", '0'
"'6812', ","'25.52',"," '2026-05-07  23:22:45',"," '12.9', ","'255', ","'0.0118', ","'0', ",'0'
"'6813', ","'25.5', ","'2026-05-07  23:23:00', ","'16.5', '","255', '","0.0253', '","0', '",1'
"'6814', ","'25.74',"," '2026-05-07  23:23:15',"," '10.49',"," '255',"," '0.0186',"," '0',", '0'
"'6815', ","'25.45',"," '2026-05-07  23:23:30',"," '17.45',"," '255',"," '0.0131',"," '0',", '0'
"'6816', ","'25.48',"," '2026-05-07  23:23:45',"," '15.46',"," '255',"," '0.0241',"," '0',", '0'
"'6817', ","'25.48',"," '2026-05-07  23:24:00',"," '17.45',"," '255',"," '0.0231',"," '0',", '1'
"'6818', ","'25.64',"," '2026-05-07  23:24:15',"," '17.79',"," '255',"," '0.0185',"," '0',", '0'
"'6819', ","'25.93',"," '2026-05-07  23:24:30',"," '9.66', ","'255', ","'0.0264', ","'0', ",'0'
"'6820', ","'25.66',"," '2026-05-07  23:24:45',"," '15.38',"," '255',"," '0.0308',"," '0',", '0'
"'6821', ","'25.9', ","'2026-05-07  23:25:00', ","'10.41', ","'255', ","'0.0246', ","'0', ",'0'
"'6822', ","'25.5', ","'2026-05-07  23:25:15', ","'12.16', ","'255', ","'0.03', '0","', '0",'
"'6823', ","'25.68',"," '2026-05-07  23:25:30',"," '13.03',"," '255',"," '0.0194',"," '0',", '0'
"'6824', ","'25.67',"," '2026-05-07  23:25:45',"," '13.81',"," '255',"," '0.0207',"," '0',", '1'
"'6825', ","'25.7', ","'2026-05-07  23:26:00', ","'13.65', ","'255', ","'0.0137', ","'0', ",'1'
"'6826', ","'25.44',"," '2026-05-07  23:26:15',"," '8.03', ","'255', ","'0.0242', ","'0', ",'0'
"'6827', ","'25.58',"," '2026-05-07  23:26:30',"," '17.46',"," '255',"," '0.0337',"," '0',", '1'
"'6828', ","'25.41',"," '2026-05-07  23:26:45',"," '17.82',"," '255',"," '0.0182',"," '0',", '0'
"'6829', ","'25.89',"," '2026-05-07  23:27:00',"," '12.62',"," '255',"," '0.0169',"," '0',", '0'
"'6830', ","'25.62',"," '2026-05-07  23:27:15',"," '13.24',"," '255',"," '0.0157',"," '0',", '0'
"'6831', ","'25.7', ","'2026-05-07  23:27:30', ","'9.4', '2","55', '0",".0233', '0","', '0",'
"'6832', ","'25.69',"," '2026-05-07  23:27:45',"," '8.79', ","'255', ","'0.0186', ","'0', ",'0'
"'6833', ","'25.81',"," '2026-05-07  23:28:00',"," '8.56', ","'255', ","'0.017', '","0', '",0'
"'6834', ","'25.73',"," '2026-05-07  23:28:15',"," '10.06',"," '255',"," '0.0325',"," '0',", '0'
"'6835', ","'25.38',"," '2026-05-07  23:28:30',"," '11.1', ","'255', ","'0.0231', ","'0', ",'0'
"'6836', ","'25.74',"," '2026-05-07  23:28:45',"," '8.58', ","'255', ","'0.0325', ","'0', ",'0'
"'6837', ","'25.73',"," '2026-05-07  23:29:00',"," '16.48',"," '255',"," '0.0341',"," '0',", '0'
"'6838', ","'25.69',"," '2026-05-07  23:29:15',"," '17.72',"," '255',"," '0.0125',"," '0',", '1'
"'6839', ","'25.56',"," '2026-05-07  23:29:30',"," '15.83',"," '255',"," '0.0259',"," '0',", '0'
"'6840', ","'25.36',"," '2026-05-07  23:29:45',"," '7.94', ","'255', ","'0.0189', ","'0', ",'1'
"'6841', ","'25.52',"," '2026-05-07  23:30:00',"," '9.16', ","'255', ","'0.012', '","0', '",0'
"'6842', ","'25.8', ","'2026-05-07  23:30:15', ","'14.4', '","255', '","0.0315', '","0', '",0'
"'6843', ","'25.54',"," '2026-05-07  23:30:30',"," '11.41',"," '255',"," '0.0251',"," '0',", '0'
"'6844', ","'25.42',"," '2026-05-07  23:30:45',"," '10.09',"," '255',"," '0.0216',"," '0',", '0'
"'6845', ","'25.42',"," '2026-05-07  23:31:00',"," '9.69', ","'255', ","'0.0195', ","'0', ",'0'
"'6846', ","'25.65',"," '2026-05-07  23:31:15',"," '10.61',"," '255',"," '0.0176',"," '0',", '1'
"'6847', ","'25.32',"," '2026-05-07  23:31:30',"," '12.88',"," '255',"," '0.0338',"," '0',", '0'
"'6848', ","'25.35',"," '2026-05-07  23:31:45',"," '16.9', ","'255', ","'0.0338', ","'0', ",'0'
"'6849', ","'25.6', ","'2026-05-07  23:32:00', ","'16.64', ","'255', ","'0.0169', ","'0', ",'0'
"'6850', ","'25.63',"," '2026-05-07  23:32:15',"," '12.23',"," '255',"," '0.0328',"," '0',", '0'
"'6851', ","'25.43',"," '2026-05-07  23:32:30',"," '15.55',"," '255',"," '0.0322',"," '0',", '0'
"'6852', ","'25.72',"," '2026-05-07  23:32:45',"," '10.58',"," '255',"," '0.0097',"," '0',", '0'
"'6853', ","'25.83',"," '2026-05-07  23:33:00',"," '9.65', ","'255', ","'0.0273', ","'0', ",'0'
"'6854', ","'25.58',"," '2026-05-07  23:33:15',"," '12.3', ","'255', ","'0.0325', ","'0', ",'0'
"'6855', ","'25.53',"," '2026-05-07  23:33:30',"," '16.25',"," '255',"," '0.0339',"," '0',", '0'
"'6856', ","'25.46',"," '2026-05-07  23:33:45',"," '11.72',"," '255',"," '0.0299',"," '0',", '0'
"'6857', ","'25.41',"," '2026-05-07  23:34:00',"," '15.84',"," '255',"," '0.0092',"," '0',", '0'
"'6858', ","'25.41',"," '2026-05-07  23:34:15',"," '13.79',"," '255',"," '0.0117',"," '0',", '0'
"'6859', ","'25.7', ","'2026-05-07  23:34:30', ","'12.93', ","'255', ","'0.0152', ","'0', ",'0'
"'6860', ","'25.77',"," '2026-05-07  23:34:45',"," '16.66',"," '255',"," '0.0339',"," '0',", '0'
"'6861', ","'25.51',"," '2026-05-07  23:35:00',"," '17.24',"," '255',"," '0.0211',"," '0',", '0'
"'6862', ","'25.37',"," '2026-05-07  23:35:15',"," '11.74',"," '255',"," '0.0095',"," '0',", '0'
"'6863', ","'25.37',"," '2026-05-07  23:35:30',"," '15.39',"," '255',"," '0.0109',"," '0',", '0'
"'6864', ","'25.74',"," '2026-05-07  23:35:45',"," '9.87', ","'255', ","'0.0284', ","'0', ",'0'
"'6865', ","'25.34',"," '2026-05-07  23:36:00',"," '9.64', ","'255', ","'0.0212', ","'0', ",'0'
"'6866', ","'25.74',"," '2026-05-07  23:36:15',"," '14.78',"," '255',"," '0.0234',"," '0',", '0'
"'6867', ","'25.59',"," '2026-05-07  23:36:30',"," '11.98',"," '255',"," '0.0186',"," '0',", '0'
"'6868', ","'25.66',"," '2026-05-07  23:36:45',"," '10.33',"," '255',"," '0.0332',"," '0',", '0'
"'6869', ","'25.77',"," '2026-05-07  23:37:00',"," '11.58',"," '255',"," '0.0099',"," '0',", '0'
"'6870', ","'25.77',"," '2026-05-07  23:37:15',"," '11.95',"," '255',"," '0.0155',"," '0',", '0'
"'6871', ","'25.34',"," '2026-05-07  23:37:30',"," '11.81',"," '255',"," '0.0167',"," '0',", '0'
"'6872', ","'25.57',"," '2026-05-07  23:37:45',"," '14.63',"," '255',"," '0.0181',"," '0',", '0'
"'6873', ","'25.75',"," '2026-05-07  23:38:00',"," '91.85',"," '255',"," '0.0331',"," '0',", '0'
"'6874', ","'25.57',"," '2026-05-07  23:38:15',"," '8.56', ","'255', ","'0.0269', ","'0', ",'0'
"'6875', ","'25.48',"," '2026-05-07  23:38:30',"," '16.89',"," '255',"," '0.0147',"," '0',", '0'
"'6876', ","'25.39',"," '2026-05-07  23:38:45',"," '16.53',"," '255',"," '0.0086',"," '0',", '0'
"'6877', ","'25.45',"," '2026-05-07  23:39:00',"," '10.93',"," '255',"," '0.0341',"," '0',", '0'
"'6878', ","'25.49',"," '2026-05-07  23:39:15',"," '11.78',"," '255',"," '0.0239',"," '0',", '0'
"'6879', ","'25.55',"," '2026-05-07  23:39:30',"," '10.74',"," '255',"," '0.0212',"," '0',", '0'
"'6880', ","'25.4', ","'2026-05-07  23:39:45', ","'15.45', ","'255', ","'0.0301', ","'0', ",'1'
"'6881', ","'25.37',"," '2026-05-07  23:40:00',"," '16.5', ","'255', ","'0.0147', ","'0', ",'1'
"'6882', ","'25.21',"," '2026-05-07  23:40:15',"," '7.35', ","'255', ","'0.0299', ","'0', ",'0'
"'6883', ","'25.43',"," '2026-05-07  23:40:30',"," '15.11',"," '255',"," '0.0102',"," '0',", '0'
"'6884', ","'25.65',"," '2026-05-07  23:40:45',", '141.85',", '255'",", '0.0223'",", '0'",", '1'"
"'6885', ","'25.52',"," '2026-05-07  23:41:00',"," '15.34',"," '255',"," '0.019', ","'0', ",'0'
"'6886', ","'25.23',"," '2026-05-07  23:41:15',"," '8.78', ","'255', ","'0.0087', ","'0', ",'0'
"'6887', ","'25.26',"," '2026-05-07  23:41:30',"," '15.87',"," '255',"," '0.0137',"," '0',", '0'
"'6888', ","'25.29',"," '2026-05-07  23:41:45',"," '10.59',"," '255',"," '0.014', ","'0', ",'0'
"'6889', ","'25.24',"," '2026-05-07  23:42:00',"," '8.17', ","'255', ","'0.0242', ","'0', ",'0'
"'6890', ","'25.17',"," '2026-05-07  23:42:15',"," '13.72',"," '255',"," '0.0274',"," '0',", '0'
"'6891', ","'25.29',"," '2026-05-07  23:42:30',"," '14.88',"," '255',"," '0.014', ","'0', ",'0'
"'6892', ","'25.24',"," '2026-05-07  23:42:45',"," '14.53',"," '255',"," '0.0113',"," '0',", '0'
"'6893', ","'25.6', ","'2026-05-07  23:43:00', ","'11.38', ","'255', ","'0.0127', ","'0', ",'0'
"'6894', ","'25.31',"," '2026-05-07  23:43:15',"," '7.21', ","'255', ","'0.0225', ","'0', ",'0'
"'6895', ","'25.11',"," '2026-05-07  23:43:30',"," '8.71', ","'255', ","'0.0139', ","'0', ",'0'
"'6896', ","'25.57',"," '2026-05-07  23:43:45',"," '10.92',"," '255',"," '0.0193',"," '0',", '0'
"'6897', ","'25.32',"," '2026-05-07  23:44:00',"," '8.51', ","'255', ","'0.0097', ","'0', ",'1'
"'6898', ","'25.18',"," '2026-05-07  23:44:15',"," '13.51',"," '255',"," '0.0145',"," '0',", '0'
"'6899', ","'25.32',"," '2026-05-07  23:44:30',"," '14.37',"," '255',"," '0.03', '","0', '",0'
"'6900', ","'25.44',"," '2026-05-07  23:44:45',"," '16.31',"," '255',"," '0.0244',"," '0',", '0'
"'6901', ","'25.23',"," '2026-05-07  23:45:00',"," '9.04', ","'255', ","'0.0082', ","'0', ",'0'
"'6902', ","'25.13',"," '2026-05-07  23:45:15',"," '15.17',"," '255',"," '0.0145',"," '0',", '0'
"'6903', ","'25.12',"," '2026-05-07  23:45:30',"," '16.97',"," '255',"," '0.01', '","0', '",0'
"'6904', ","'25.28',"," '2026-05-07  23:45:45',"," '10.57',"," '255',"," '0.0146',"," '0',", '0'
"'6905', ","'25.42',"," '2026-05-07  23:46:00',"," '9.04', ","'255', ","'0.0315', ","'0', ",'0'
"'6906', ","'25.36',"," '2026-05-07  23:46:15',"," '15.03',"," '255',"," '0.0121',"," '0',", '0'
"'6907', ","'25.32',"," '2026-05-07  23:46:30',"," '14.67',"," '255',"," '0.0279',"," '0',", '0'
"'6908', ","'25.22',"," '2026-05-07  23:46:45',"," '12.34',"," '255',"," '0.0252',"," '0',", '0'
"'6909', ","'25.31',"," '2026-05-07  23:47:00',"," '8.93', ","'255', ","'0.0178', ","'0', ",'0'
"'6910', ","'25.25',"," '2026-05-07  23:47:15',"," '12.57',"," '255',"," '0.0318',"," '0',", '0'
"'6911', ","'25.3', ","'2026-05-07  23:47:30', ","'16.12', ","'255', ","'0.0099', ","'0', ",'0'
"'6912', ","'25.6', ","'2026-05-07  23:47:45', ","'8.08', '","255', '","0.011', '0","', '0",'
"'6913', ","'25.04',"," '2026-05-07  23:48:00',"," '15.07',"," '255',"," '0.0347',"," '0',", '1'
"'6914', ","'25.54',"," '2026-05-07  23:48:15',"," '10.86',"," '255',"," '0.0146',"," '0',", '0'
"'6915', ","'25.11',"," '2026-05-07  23:48:30',"," '13.48',"," '255',"," '0.011', ","'0', ",'0'
"'6916', ","'25.56',"," '2026-05-07  23:48:45',"," '9.56', ","'255', ","'0.0243', ","'0', ",'1'
"'6917', ","'25.02',"," '2026-05-07  23:49:00',"," '8.6', '","255', '","0.0155', '","0', '",0'
"'6918', ","'25.59',"," '2026-05-07  23:49:15',"," '15.74',"," '255',"," '0.0198',"," '0',", '0'
"'6919', ","'25.2', ","'2026-05-07  23:49:30', ","'10.86', ","'255', ","'0.0182', ","'0', ",'0'
"'6920', ","'25.01',"," '2026-05-07  23:49:45',"," '10.45',"," '255',"," '0.0235',"," '0',", '0'
"'6921', ","'25.49',"," '2026-05-07  23:50:00',"," '11.98',"," '255',"," '0.0229',"," '0',", '0'
"'6922', ","'25.56',"," '2026-05-07  23:50:15',"," '11.09',"," '255',"," '0.0225',"," '0',", '0'
"'6923', ","'25.36',"," '2026-05-07  23:50:30',"," '14.38',"," '255',"," '0.0084',"," '0',", '0'
"'6924', ","'25.43',"," '2026-05-07  23:50:45',"," '12.94',"," '255',"," '0.0248',"," '0',", '0'
"'6925', ","'25.32',"," '2026-05-07  23:51:00',"," '8.06', ","'255', ","'0.0291', ","'0', ",'0'
"'6926', ","'25.19',"," '2026-05-07  23:51:15',"," '9.56', ","'255', ","'0.0277', ","'0', ",'0'
"'6927', ","'25.08',"," '2026-05-07  23:51:30',"," '15.92',"," '255',"," '0.033', ","'0', ",'0'
"'6928', ","'25.15',"," '2026-05-07  23:51:45',"," '14.88',"," '255',"," '0.0264',"," '0',", '0'
"'6929', ","'25.18',"," '2026-05-07  23:52:00',"," '15.31',"," '255',"," '0.0218',"," '0',", '0'
"'6930', ","'25.31',"," '2026-05-07  23:52:15',"," '10.83',"," '255',"," '0.0085',"," '0',", '0'
"'6931', ","'25.44',"," '2026-05-07  23:52:30',"," '6.99', ","'255', ","'0.0245', ","'0', ",'0'
"'6932', ","'25.32',"," '2026-05-07  23:52:45',"," '10.98',"," '255',"," '0.0165',"," '0',", '0'
"'6933', ","'25.28',"," '2026-05-07  23:53:00',"," '11.66',"," '255',"," '0.0335',"," '0',", '0'
"'6934', ","'25.51',"," '2026-05-07  23:53:15',"," '7.97', ","'255', ","'0.0129', ","'0', ",'0'
"'6935', ","'25.07',"," '2026-05-07  23:53:30',"," '13.67',"," '255',"," '0.0161',"," '0',", '0'
"'6936', ","'25.39',"," '2026-05-07  23:53:45',"," '14.7', ","'255', ","'0.0152', ","'0', ",'0'
"'6937', ","'25.43',"," '2026-05-07  23:54:00',"," '15.31',"," '255',"," '0.0084',"," '0',", '0'
"'6938', ","'25.46',"," '2026-05-07  23:54:15',"," '8.7', '","255', '","0.0249', '","0', '",0'
"'6939', ","'25.51',"," '2026-05-07  23:54:30',"," '15.16',"," '255',"," '0.0134',"," '0',", '0'
"'6940', ","'24.96',"," '2026-05-07  23:54:45',"," '7.8', '","255', '","0.0327', '","0', '",0'
"'6941', ","'25.11',"," '2026-05-07  23:55:00',"," '16.22',"," '255',"," '0.03', '","0', '",1'
"'6942', ","'25.15',"," '2026-05-07  23:55:15',"," '16.26',"," '255',"," '0.0136',"," '0',", '0'
"'6943', ","'24.96',"," '2026-05-07  23:55:30',"," '8.6', '","255', '","0.0194', '","0', '",0'
"'6944', ","'25.18',"," '2026-05-07  23:55:45',"," '10.82',"," '255',"," '0.0092',"," '0',", '1'
"'6945', ","'25.11',"," '2026-05-07  23:56:00',"," '12.4', ","'255', ","'0.023', '","0', '",0'
"'6946', ","'25.17',"," '2026-05-07  23:56:15',"," '9.82', ","'255', ","'0.0165', ","'0', ",'0'
"'6947', ","'24.93',"," '2026-05-07  23:56:30',"," '16.58',"," '255',"," '0.0106',"," '0',", '1'
"'6948', ","'25.36',"," '2026-05-07  23:56:45',"," '14.88',"," '255',"," '0.0151',"," '0',", '0'
"'6949', ","'25.12',"," '2026-05-07  23:57:00',"," '13.66',"," '255',"," '0.0299',"," '0',", '0'
"'6950', ","'25.23',"," '2026-05-07  23:57:15',"," '15.85',"," '255',"," '0.0196',"," '0',", '0'
"'6951', ","'25.41',"," '2026-05-07  23:57:30',"," '7.51', ","'255', ","'0.0282', ","'0', ",'0'
"'6952', ","'25.17',"," '2026-05-07  23:57:45',"," '14.96',"," '255',"," '0.0232',"," '0',", '0'
"'6953', ","'25.07',"," '2026-05-07  23:58:00',"," '16.5', ","'255', ","'0.0326', ","'0', ",'0'
"'6954', ","'25.16',"," '2026-05-07  23:58:15',"," '13.91',"," '255',"," '0.0164',"," '0',", '0'
"'6955', ","'25.43',"," '2026-05-07  23:58:30',"," '9.69', ","'255', ","'0.025', '","0', '",0'
"'6956', ","'25.06',"," '2026-05-07  23:58:45',"," '6.64', ","'255', ","'0.0239', ","'0', ",'0'
"'6957', ","'25.31',"," '2026-05-07  23:59:00',"," '10.66',"," '255',"," '0.0188',"," '0',", '1'
"'6958', ","'25.2', ","'2026-05-07  23:59:15', ","'15.9', '","255', '","0.013', '0","', '0",'
"'6959', ","'25.24',"," '2026-05-07  23:59:30',"," '9.12', ","'255', ","'0.0262', ","'0', ",'0'
"'6960', ","'25', '2","026-05-07 23 :59:45', '1","0.9', '25","5', '0.","0326', '0'",", '0'",
"'6961', ","'24.86',"," '2026-05-08  00:00:00',"," '110.5',"," '1.2',"," '0.0214',"," '0',", '0'
"'6962', ","'25.17',"," '2026-05-08  00:00:15',"," '11.3', ","'2.02',"," '0.0159',"," '0',", '0'
"'6963', ","'25.2', ","'2026-05-08  00:00:30', ","'7.42', '","0.3', '","0.0146', '","0', '",0'
"'6964', ","'24.84',"," '2026-05-08  00:00:45',"," '15.58',", '0.83',", '0.0282'",", '0'",", '0'"
"'6965', ","'25.03',"," '2026-05-08  00:01:00',"," '6.8', '","1.3', '","0.0266', '","0', '",0'
"'6966', ","'24.91',"," '2026-05-08  00:01:15',"," '15.01',", '0.86',", '0.0103'",", '0'",", '0'"
"'6967', ","'24.88',"," '2026-05-08  00:01:30',"," '9.15', ","'0.42',"," '0.0105',"," '0',", '0'
"'6968', ","'25.39',"," '2026-05-08  00:01:45',"," '11.73',", '0.01',", '0.0264'",", '0'",", '0'"
"'6969', ","'25.02',"," '2026-05-08  00:02:00',"," '11.98',"," '1', '","0.0274', '","0', '",0'
"'6970', ","'25.06',"," '2026-05-08  00:02:15',"," '8.74', ","'1.85',"," '0.0136',"," '0',", '0'
"'6971', ","'24.87',"," '2026-05-08  00:02:30',"," '15.53',", '1.82',", '0.0201'",", '0'",", '1'"
"'6972', ","'25.2', ","'2026-05-08  00:02:45', ","'6.62', '","0.86', ","'0.0289', ","'0', ",'0'
"'6973', ","'25.05',"," '2026-05-08  00:03:00',"," '7.1', '","2.38', ","'0.0151', ","'0', ",'0'
"'6974', ","'25.18',"," '2026-05-08  00:03:15',"," '14.8', ","'0.2', ","'0.0121', ","'0', ",'0'
"'6975', ","'24.82',"," '2026-05-08  00:03:30',"," '7.96', ","'2.04',"," '0.0335',"," '0',", '0'
"'6976', ","'25.28',"," '2026-05-08  00:03:45',"," '13.19',", '1.37',", '0.0213'",", '0'",", '0'"
"'6977', ","'25.11',"," '2026-05-08  00:04:00',"," '15.61',"," '1.9',"," '0.0144',"," '0',", '1'
"'6978', ","'25.11',"," '2026-05-08  00:04:15',"," '12.98',", '2.45',", '0.0265'",", '0'",", '1'"
"'6979', ","'24.87',"," '2026-05-08  00:04:30',"," '15.97',", '0.43',", '0.0242'",", '0'",", '1'"
"'6980', ","'25.21',"," '2026-05-08  00:04:45',"," '15.92',", '0.67',", '0.0339'",", '0'",", '0'"
"'6981', ","'24.82',"," '2026-05-08  00:05:00',"," '14.2', ","'2.26',"," '0.0221',"," '0',", '0'
"'6982', ","'24.92',"," '2026-05-08  00:05:15',"," '13.91',", '1.19',", '0.0194'",", '0'",", '0'"
"'6983', ","'24.95',"," '2026-05-08  00:05:30',"," '14.78',", '0.22',", '0.0264'",", '0'",", '0'"
"'6984', ","'24.91',"," '2026-05-08  00:05:45',"," '16.16',", '0.35',", '0.0096'",", '0'",", '0'"
"'6985', ","'25.07',"," '2026-05-08  00:06:00',"," '15.56',", '1.66',", '0.0323'",", '0'",", '1'"
"'6986', ","'25.34',"," '2026-05-08  00:06:15',"," '10.77',", '1.93',", '0.0092'",", '0'",", '0'"
"'6987', ","'24.75',"," '2026-05-08  00:06:30',"," '14.13',", '0.91',", '0.0276'",", '0'",", '0'"
"'6988', ","'25.08',"," '2026-05-08  00:06:45',"," '13.38',", '0.85',", '0.0118'",", '0'",", '0'"
"'6989', ","'24.77',"," '2026-05-08  00:07:00',"," '14.76',", '1.59',", '0.0299'",", '0'",", '0'"
"'6990', ","'24.87',"," '2026-05-08  00:07:15',"," '14.25',", '1.62',", '0.0308'",", '0'",", '0'"
"'6991', ","'24.82',"," '2026-05-08  00:07:30',"," '14.76',", '1.33',", '0.0158'",", '0'",", '0'"
"'6992', ","'25.02',"," '2026-05-08  00:07:45',"," '8.64', ","'0.2', ","'0.0194', ","'0', ",'1'
"'6993', ","'24.98',"," '2026-05-08  00:08:00',"," '12.17',", '2.03',", '0.0213'",", '0'",", '0'"
"'6994', ","'25.23',"," '2026-05-08  00:08:15',"," '8.24', ","'0.68',"," '0.0087',"," '0',", '1'
"'6995', ","'25.04',"," '2026-05-08  00:08:30',"," '11.98',"," '1.1',"," '0.0326',"," '0',", '0'
"'6996', ","'24.86',"," '2026-05-08  00:08:45',"," '13.53',", '1.66',", '0.0137'",", '0'",", '0'"
"'6997', ","'25.13',"," '2026-05-08  00:09:00',"," '12.34',", '1.35',", '0.0142'",", '0'",", '0'"
"'6998', ","'24.87',"," '2026-05-08  00:09:15',"," '15.31',", '0.36',", '0.0279'",", '0'",", '0'"
"'6999', ","'24.75',"," '2026-05-08  00:09:30',"," '11.92',", '1.45',", '0.0186'",", '0'",", '0'"
"'7000', ","'24.8', ","'2026-05-08  00:09:45', ","'14.62', ","'0.87',"," '0.0341',"," '0',", '0'
"'7001', ","'24.91',"," '2026-05-08  00:10:00',"," '8.96', ","'1.17',"," '0.0236',"," '0',", '0'
"'7002', ","'25.02',"," '2026-05-08  00:10:15',"," '11.54',", '1.42',", '0.013',"," '0',", '0'
"'7003', ","'25.05',"," '2026-05-08  00:10:30',"," '8.8', '","0.89', ","'0.0175', ","'0', ",'0'
"'7004', ","'25.1', ","'2026-05-08  00:10:45', ","'10.77', ","'1.76',"," '0.026', ","'0', ",'0'
"'7005', ","'25.04',"," '2026-05-08  00:11:00',"," '11.03',", '0.56',", '0.0179'",", '0'",", '0'"
"'7006', ","'25.16',"," '2026-05-08  00:11:15',"," '6.28', ","'1.29',"," '0.013', ","'0', ",'0'
"'7007', ","'24.8', ","'2026-05-08  00:11:30', ","'8.59', '","1.14', ","'0.0118', ","'0', ",'1'
"'7008', ","'25.16',"," '2026-05-08  00:11:45',"," '14.76',", '1.61',", '0.022',"," '0',", '0'
"'7009', ","'24.85',"," '2026-05-08  00:12:00',"," '13.74',", '1.27',", '0.0146'",", '0'",", '0'"
"'7010', ","'25.11',"," '2026-05-08  00:12:15',"," '14.87',", '2.03',", '0.0312'",", '0'",", '0'"
"'7011', ","'25.17',"," '2026-05-08  00:12:30',"," '14.38',", '2.07',", '0.0286'",", '0'",", '0'"
"'7012', ","'25.25',"," '2026-05-08  00:12:45',"," '8.75', ","'1.55',"," '0.0091',"," '0',", '1'
"'7013', ","'24.72',"," '2026-05-08  00:13:00',"," '6.97', ","'1.82',"," '0.0302',"," '0',", '1'
"'7014', ","'24.77',"," '2026-05-08  00:13:15',"," '13.05',", '0.73',", '0.0337'",", '0'",", '1'"
"'7015', ","'24.95',"," '2026-05-08  00:13:30',"," '8.17', ","'0.52',"," '0.035', ","'0', ",'0'
"'7016', ","'24.9', ","'2026-05-08  00:13:45', ","'12.73', ","'2.24',"," '0.0181',"," '0',", '1'
"'7017', ","'24.96',"," '2026-05-08  00:14:00',"," '7.77', ","'2.34',"," '0.0097',"," '0',", '0'
"'7018', ","'24.97',"," '2026-05-08  00:14:15',"," '5.95', ","'0.42',"," '0.0237',"," '0',", '0'
"'7019', ","'24.9', ","'2026-05-08  00:14:30', ","'9.25', '","0.76', ","'0.0141', ","'0', ",'0'
"'7020', ","'24.75',"," '2026-05-08  00:14:45',"," '10.36',", '2.41',", '0.0274'",", '0'",", '0'"
"'7021', ","'25.14',"," '2026-05-08  00:15:00',"," '6.35', ","'1.02',"," '0.0146',"," '0',", '0'
"'7022', ","'24.94',"," '2026-05-08  00:15:15',"," '11.01',", '1.39',", '0.0185'",", '0'",", '1'"
"'7023', ","'25.16',"," '2026-05-08  00:15:30',"," '11.95',", '0.71',", '0.0268'",", '0'",", '0'"
"'7024', ","'25.21',"," '2026-05-08  00:15:45',", '166.84',", '1.74","', '0.0155","', '0","', '1'"
"'7025', ","'25.08',"," '2026-05-08  00:16:00',"," '8.5', '","1.59', ","'0.0112', ","'0', ",'0'
"'7026', ","'24.99',"," '2026-05-08  00:16:15',"," '6.2', '","0.63', ","'0.0133', ","'0', ",'0'
"'7027', ","'24.67',"," '2026-05-08  00:16:30',"," '7.24', ","'0.19',"," '0.0117',"," '0',", '0'
"'7028', ","'25', '2","026-05-08 00 :16:45', '1","0.61', '0",".31', '","0.0165', '","0', '",0'
"'7029', ","'24.67',"," '2026-05-08  00:17:00',"," '11.07',", '2.09',", '0.0219'",", '0'",", '1'"
"'7030', ","'24.76',"," '2026-05-08  00:17:15',"," '10.44',", '1.84',", '0.0111'",", '0'",", '0'"
"'7031', ","'24.66',"," '2026-05-08  00:17:30',"," '7.04', ","'2.13',"," '0.0136',"," '0',", '0'
"'7032', ","'25.06',"," '2026-05-08  00:17:45',"," '5.94', ","'0.6', ","'0.0081', ","'0', ",'0'
"'7033', ","'25.13',"," '2026-05-08  00:18:00',"," '13.27',", '0.03',", '0.0107'",", '0'",", '0'"
"'7034', ","'24.93',"," '2026-05-08  00:18:15',"," '15.53',", '1.64',", '0.01', ","'0', ",'0'
"'7035', ","'24.84',"," '2026-05-08  00:18:30',"," '9.92', ","'2.45',"," '0.0162',"," '0',", '0'
"'7036', ","'25.09',"," '2026-05-08  00:18:45',"," '12.46',", '1.07',", '0.0285'",", '0'",", '0'"
"'7037', ","'25.02',"," '2026-05-08  00:19:00',"," '12.98',", '0.87',", '0.0319'",", '0'",", '0'"
"'7038', ","'25', '2","026-05-08 00 :19:15', '1","0.16', '1",".77', '","0.0258', '","0', '",0'
"'7039', ","'24.71',"," '2026-05-08  00:19:30',"," '8.38', ","'0.7', ","'0.0341', ","'0', ",'0'
"'7040', ","'25.17',"," '2026-05-08  00:19:45',"," '12.84',", '0.27',", '0.0209'",", '0'",", '0'"
"'7041', ","'24.89',"," '2026-05-08  00:20:00',"," '13.47',", '0.65',", '0.0196'",", '0'",", '0'"
"'7042', ","'25.15',"," '2026-05-08  00:20:15',"," '13.47',", '1.24',", '0.0228'",", '0'",", '0'"
"'7043', ","'25', '2","026-05-08 00 :20:30', '1","3.64', '2",".48', '","0.0178', '","0', '",0'
"'7044', ","'24.57',"," '2026-05-08  00:20:45',"," '6.14', ","'2.34',"," '0.0081',"," '0',", '0'
"'7045', ","'24.57',"," '2026-05-08  00:21:00',"," '10.52',", '0.99',", '0.0157'",", '0'",", '0'"
"'7046', ","'24.8', ","'2026-05-08  00:21:15', ","'6.26', '","0.18', ","'0.0323', ","'0', ",'0'
"'7047', ","'24.67',"," '2026-05-08  00:21:30',"," '13.69',", '0.11',", '0.024',"," '0',", '0'
